データの種類,単位,下限警告文,上限警告文,下限閾値,上限閾値
気温,℃,低温注意,高温注意,15.0,40.0
湿度,%RH,乾燥注意,高湿注意,60.0,95.0
地温,℃,土壌低温注意,土壌高温注意,15.0,40.0
土壌水分,,土壌乾燥注意,土壌過湿注意,0.0,95.0
照度,kW/m2,光量低下注意,強光注意,0.1,0.35
CO2濃度,ppm,CO2欠乏注意,CO2過剰注意,400.0,2000.0
飽差,g/m3,高湿注意,乾燥注意,2.0,10.0
